iter	Logloss
0	0.6265168945
1	0.5736834473
2	0.5329030762
3	0.4958761719
4	0.4645291992
5	0.4381428223
6	0.4131141113
7	0.3921534424
8	0.3763313232
9	0.3603768555
10	0.3463155518
11	0.333661499
12	0.3228645996
13	0.3127520996
14	0.3035282715
15	0.297250415
16	0.2899949707
17	0.2833261719
18	0.2771889893
19	0.2735760254
20	0.2686159668
21	0.2658993164
22	0.260920166
23	0.258244043
24	0.2547551758
25	0.252245752
26	0.2502220703
27	0.2473654785
28	0.2451638184
29	0.243053833
30	0.2408246094
31	0.2386935059
32	0.2366776611
33	0.234939502
34	0.2335157715
35	0.2319549316
36	0.2310495605
37	0.2303629883
38	0.229424585
39	0.2280648926
40	0.2264416504
41	0.2252918701
42	0.224075
43	0.2232524902
44	0.2225299316
45	0.2216818604
46	0.2207659912
47	0.2201953369
48	0.219726123
49	0.2191097168
50	0.2184163574
51	0.2177824707
52	0.217114917
53	0.2166936035
54	0.2164186279
55	0.2157239746
56	0.2153237305
57	0.2147079346
58	0.2143628418
59	0.2136517822
60	0.2134655273
61	0.2131015137
62	0.2126827148
63	0.2118391602
64	0.2114551758
65	0.2112264893
66	0.2106054687
67	0.2103664551
68	0.2099041748
69	0.2097655273
70	0.2093634521
71	0.2091178955
72	0.2088550537
73	0.2086557617
74	0.2081993652
75	0.2079266113
76	0.2076212402
77	0.2070220703
78	0.2064718506
79	0.2060914795
80	0.2060205811
81	0.2057736328
82	0.2053108887
83	0.2048111816
84	0.2046313599
85	0.2043894775
86	0.2040147461
87	0.2037645508
88	0.2032411255
89	0.2029564453
90	0.2028874512
91	0.2022973633
92	0.2019314697
93	0.201460498
94	0.201235083
95	0.2007686279
96	0.2004981201
97	0.2002939697
98	0.2002601074
99	0.2000216553
