iter	Passed	Remaining
0	160	15876
1	162	7966
2	164	5316
3	166	3988
4	168	3194
5	169	2662
6	172	2293
7	174	2006
8	176	1785
9	178	1606
10	179	1451
11	180	1324
12	182	1221
13	183	1127
14	184	1046
15	186	981
16	188	921
17	190	868
18	192	821
19	194	779
20	196	740
21	198	705
22	200	670
23	202	640
24	204	613
25	206	587
26	207	561
27	209	538
28	211	518
29	213	499
30	215	480
31	217	462
32	219	445
33	221	429
34	223	415
35	225	401
36	227	387
37	229	374
38	231	362
39	233	350
40	234	336
41	236	326
42	238	316
43	241	306
44	243	297
45	245	287
46	247	278
47	249	269
48	251	261
49	252	252
50	254	244
51	256	236
52	258	229
53	260	221
54	262	214
55	264	207
56	266	201
57	268	194
58	271	188
59	273	182
60	276	176
61	278	170
62	281	165
63	285	160
64	286	154
65	288	148
66	290	142
67	292	137
68	293	132
69	296	126
70	298	121
71	300	117
72	302	112
73	307	108
74	310	103
75	311	98
76	313	93
77	315	88
78	317	84
79	319	79
80	321	75
81	323	70
82	325	66
83	328	62
84	330	58
85	334	54
86	336	50
87	338	46
88	340	42
89	343	38
90	346	34
91	348	30
92	350	26
93	352	22
94	353	18
95	355	14
96	357	11
97	359	7
98	361	3
99	363	0
