amount,txn_hour,payment_mode,receiver_type,is_new_receiver,avg_amount_7d,avg_amount_30d,max_amount_7d,txn_count_1h,txn_count_24h,days_since_last_txn,night_txn_ratio,location_mismatch,is_night,is_round_amount,velocity_check,deviation_from_sender_avg,exceeds_recent_max,is_fraud
5693.29,23,QR,MERCHANT,0,4382.82,4613.82,8114.87,0,3,12,0.549,0,0,0,0,1.23,0,0
3214.93,10,QR,INDIVIDUAL,1,3687.23,3842.52,6631.24,5,12,7,0.353,0,0,0,1,0.84,0,0
6521.89,19,QR,INDIVIDUAL,0,8977.86,7870.61,17080.09,0,3,9,0.106,0,0,0,0,0.83,0,0
14338.84,10,MANUAL,INDIVIDUAL,1,13275.59,13253.48,26146.53,1,2,10,0.087,1,0,0,0,1.08,0,1
2949.12,19,MANUAL,MERCHANT,0,3616.7,3324.9,6243.08,0,1,7,0.024,0,0,0,0,0.89,0,0
2949.16,11,QR,MERCHANT,0,2683.16,2246.83,3375.15,0,5,10,0.213,0,0,0,0,1.31,0,0
15082.52,17,QR,MERCHANT,1,11728.71,11269.3,18165.43,2,5,8,0.282,0,0,0,0,1.34,0,0
7264.04,1,MANUAL,MERCHANT,0,7450.48,6709.22,12505.44,0,4,6,0.122,1,1,0,0,1.08,0,0
2386.24,3,QR,MERCHANT,0,1785.23,1906.27,2745.94,0,3,14,0.152,0,1,0,0,1.25,0,0
5933.11,3,QR,MERCHANT,1,7250.31,6174.21,8386.6,0,2,8,0.094,0,1,0,0,0.96,0,0
2399.28,20,QR,INDIVIDUAL,0,2318.95,2161.9,2911.68,2,7,12,0.05,0,0,0,0,1.11,0,0
2394.29,13,QR,MERCHANT,0,2526.62,2386.2,3080.49,1,3,4,0.277,0,0,0,0,1.0,0,0
4526.78,12,QR,MERCHANT,0,4522.02,3815.8,5648.76,1,3,9,0.445,0,0,0,0,1.19,0,0
650.7,8,MANUAL,MERCHANT,1,501.65,516.34,861.98,1,4,2,0.194,0,0,0,0,1.26,0,0
770.91,14,MANUAL,MERCHANT,1,913.42,807.81,1371.56,1,4,6,0.103,0,0,0,0,0.95,0,0
2195.01,22,MANUAL,MERCHANT,1,2389.15,2575.13,3590.78,1,7,13,0.118,0,0,0,0,0.85,0,0
1463.3,21,QR,MERCHANT,0,1385.56,1329.77,2524.45,1,3,12,0.113,0,0,0,0,1.1,0,1
4831.07,9,MANUAL,INDIVIDUAL,0,4339.88,4576.83,7401.77,1,6,14,0.067,0,0,0,0,1.06,0,1
1608.05,4,MANUAL,MERCHANT,0,1939.77,1890.85,3592.19,1,5,12,0.407,0,1,0,0,0.85,0,0
1021.4,3,QR,INDIVIDUAL,1,861.29,915.78,968.82,0,0,11,0.435,0,1,1,0,1.11,1,0
13617.13,17,QR,INDIVIDUAL,0,15999.3,14860.38,20878.83,1,3,1,0.08,0,0,0,0,0.92,0,0
2971.44,3,QR,INDIVIDUAL,0,2291.25,2351.51,2908.96,0,2,2,0.178,0,1,0,0,1.26,1,0
3869.09,15,MANUAL,INDIVIDUAL,0,3806.57,3559.33,5436.47,0,0,3,0.18,0,0,0,0,1.09,0,0
1010.02,10,QR,MERCHANT,0,978.91,878.85,1712.11,1,3,5,0.194,0,0,1,0,1.15,0,0
2230.67,6,MANUAL,INDIVIDUAL,1,2354.04,2346.25,4336.71,1,4,1,0.341,0,0,0,0,0.95,0,0
4023.19,0,QR,MERCHANT,0,4362.63,3702.11,7523.29,0,2,12,0.169,0,1,1,0,1.09,0,0
1292.21,2,QR,MERCHANT,0,868.3,936.5,1426.26,0,3,5,0.068,0,1,0,0,1.38,0,0
5105.78,15,QR,INDIVIDUAL,0,4618.5,4005.69,6747.99,0,4,14,0.124,0,0,0,0,1.27,0,0
2120.54,3,QR,MERCHANT,1,2267.72,2031.12,3885.36,0,3,1,0.115,0,1,0,0,1.04,0,0
2800.28,22,MANUAL,MERCHANT,0,3139.56,3255.14,4955.69,2,3,13,0.32,0,0,0,0,0.86,0,0
2118.5,2,QR,INDIVIDUAL,1,2086.02,2248.96,3538.55,0,1,0,0.251,0,1,0,0,0.94,0,0
19284.37,19,MANUAL,MERCHANT,0,19242.53,19454.62,28561.38,1,4,9,0.089,0,0,0,0,0.99,0,0
3596.99,0,MANUAL,MERCHANT,0,3309.09,3461.89,5239.12,2,7,0,0.172,1,1,0,0,1.04,0,0
1405.38,0,QR,INDIVIDUAL,0,1017.49,1101.13,1842.48,1,3,0,0.089,0,1,0,0,1.28,0,0
7633.41,9,QR,MERCHANT,0,8367.75,9100.93,10973.48,1,4,11,0.198,0,0,0,0,0.84,0,0
1213.47,11,MANUAL,MERCHANT,1,1157.37,1003.88,2143.93,0,6,1,0.083,0,0,0,0,1.21,0,0
4393.92,2,QR,MERCHANT,1,4092.91,3471.92,7634.67,0,3,10,0.135,0,1,0,0,1.27,0,0
624.09,22,QR,MERCHANT,0,491.65,449.0,737.2,0,4,14,0.296,0,0,0,0,1.39,0,0
1101.73,12,QR,MERCHANT,0,801.88,820.84,957.79,0,3,6,0.038,1,0,0,0,1.34,1,1
4346.71,5,QR,MERCHANT,1,4607.3,5090.92,6481.66,1,8,12,0.079,0,1,0,0,0.85,0,0
7077.1,20,MANUAL,MERCHANT,0,6430.65,6695.99,7415.01,0,3,1,0.124,0,0,0,0,1.06,0,0
4248.12,23,QR,MERCHANT,0,3533.35,3641.44,5307.24,3,5,3,0.086,0,0,0,1,1.17,0,0
3281.04,23,MANUAL,INDIVIDUAL,0,3454.85,2892.89,5420.63,1,3,13,0.131,0,0,0,0,1.13,0,0
2776.67,19,QR,MERCHANT,0,2477.82,2418.97,3417.79,0,1,7,0.072,0,0,0,0,1.15,0,0
962.3,9,QR,INDIVIDUAL,0,947.25,872.75,1706.59,3,4,10,0.27,0,0,0,1,1.1,0,0
1904.82,5,QR,INDIVIDUAL,1,2543.3,2197.98,2842.72,1,1,7,0.324,0,1,0,0,0.87,0,0
2405.29,0,QR,MERCHANT,0,2554.24,2321.82,3224.16,0,1,6,0.32,0,1,0,0,1.04,0,1
9427.72,14,MANUAL,INDIVIDUAL,1,10833.87,9270.37,18082.72,0,1,9,0.184,0,0,0,0,1.02,0,0
4960.47,13,QR,MERCHANT,0,3495.5,3698.88,5164.33,1,5,13,0.325,0,0,0,0,1.34,0,0
744.91,11,MANUAL,MERCHANT,0,604.62,597.72,1017.55,1,1,3,0.303,0,0,0,0,1.24,0,0
4874.03,9,MANUAL,INDIVIDUAL,0,3758.3,4024.68,6644.28,2,4,4,0.036,0,0,0,0,1.21,0,0
2574.54,8,QR,INDIVIDUAL,0,2910.72,2971.77,4334.12,3,6,0,0.341,0,0,0,1,0.87,0,0
1979.84,20,QR,INDIVIDUAL,1,1730.66,1477.56,3299.12,0,1,8,0.123,0,0,0,0,1.34,0,0
6313.9,14,MANUAL,MERCHANT,0,7236.6,6482.97,8817.92,2,4,14,0.153,0,0,0,0,0.97,0,0
9208.66,13,MANUAL,INDIVIDUAL,1,9918.9,8307.85,12033.75,1,3,10,0.213,1,0,0,0,1.11,0,0
8418.21,23,MANUAL,INDIVIDUAL,1,6994.91,6218.95,12474.77,0,2,6,0.226,0,0,0,0,1.35,0,0
1710.78,9,MANUAL,MERCHANT,1,1556.5,1355.48,3055.07,2,3,0,0.222,0,0,0,0,1.26,0,0
2756.48,0,QR,INDIVIDUAL,1,2354.71,2207.7,3394.46,0,5,14,0.238,0,1,0,0,1.25,0,0
4905.62,19,MANUAL,MERCHANT,1,6178.79,5348.29,6985.9,1,5,0,0.041,0,0,0,0,0.92,0,0
8760.35,1,MANUAL,INDIVIDUAL,1,6783.05,6785.53,12809.19,0,3,10,0.16,0,1,0,0,1.29,0,0
2365.5,1,MANUAL,INDIVIDUAL,0,2596.7,2430.26,3925.36,2,3,9,0.059,0,1,0,0,0.97,0,0
3080.68,1,QR,INDIVIDUAL,1,3731.17,3350.22,6264.51,0,3,12,0.133,0,1,0,0,0.92,0,0
1345.2,1,MANUAL,INDIVIDUAL,0,1171.41,1180.8,2040.66,4,8,2,0.054,0,1,0,1,1.14,0,0
1240.68,7,QR,INDIVIDUAL,0,1092.81,949.0,1259.35,1,3,11,0.241,0,0,0,0,1.31,0,0
7564.89,21,QR,MERCHANT,0,8732.88,8273.61,16247.49,1,3,0,0.468,0,0,0,0,0.91,0,0
12340.18,17,MANUAL,INDIVIDUAL,0,13479.04,14537.84,20763.99,2,3,6,0.22,0,0,0,0,0.85,0,1
3412.47,12,MANUAL,MERCHANT,0,3159.26,2742.64,5228.17,1,4,2,0.141,1,0,0,0,1.24,0,0
8983.81,16,MANUAL,MERCHANT,0,8490.83,9198.24,10218.64,0,1,13,0.168,0,0,0,0,0.98,0,0
5041.57,7,MANUAL,MERCHANT,0,7022.53,6130.14,13367.95,0,2,8,0.21,0,0,1,0,0.82,0,0
2037.32,9,MANUAL,INDIVIDUAL,0,2581.79,2395.47,4809.23,1,2,4,0.056,0,0,1,0,0.85,0,0
5040.48,13,QR,MERCHANT,0,4550.82,4921.54,8726.12,3,6,8,0.282,0,0,1,1,1.02,0,0
14533.81,18,QR,INDIVIDUAL,1,12603.81,11260.62,14990.34,2,4,8,0.192,0,0,0,0,1.29,0,0
3525.43,18,QR,INDIVIDUAL,0,3167.35,2955.13,5132.74,1,4,8,0.005,0,0,0,0,1.19,0,0
14886.04,23,QR,MERCHANT,1,15906.65,13774.02,20454.31,0,5,2,0.034,0,0,0,0,1.08,0,0
